-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2015,11.5,76.5,5.32,6.39,6.27,5.61,5.04,4.62,4.77,5.04,5.32,5.01,3.91,4.74,5.16
ALLSKY_SFC_SW_DWN,2015,11.5,77.5,5.17,6.41,6.45,6.24,5.56,5.5,5.63,5.69,5.84,5.52,3.76,4.37,5.51
ALLSKY_SFC_SW_DWN,2015,11.5,78.5,4.95,6.18,6.31,6.35,5.57,5.69,5.92,5.83,5.65,5.35,3.42,4.01,5.43
ALLSKY_SFC_SW_DWN,2015,12.5,76.5,5.27,6.47,6.4,6.08,5.52,4.89,4.83,5.3,5.46,5.54,3.98,4.85,5.38
ALLSKY_SFC_SW_DWN,2015,12.5,77.5,5.21,6.52,6.51,6.36,5.71,5.24,5.31,5.45,5.62,5.6,3.71,4.68,5.49
ALLSKY_SFC_SW_DWN,2015,12.5,78.5,4.94,6.3,6.45,6.38,5.72,5.59,5.84,5.73,5.47,5.51,3.36,4.22,5.45
ALLSKY_SFC_SW_DWN,2015,13.5,76.5,5.27,6.52,6.33,6.39,6.05,5.26,5.0,5.17,5.31,5.66,3.91,5.05,5.49
ALLSKY_SFC_SW_DWN,2015,13.5,77.5,5.29,6.58,6.49,6.56,6.19,5.58,5.55,5.53,5.47,5.74,3.72,5.01,5.64
ALLSKY_SFC_SW_DWN,2015,13.5,78.5,5.01,6.35,6.36,6.5,6.18,5.48,5.91,5.56,5.3,5.63,3.46,4.62,5.53
ALLSKY_SFC_SW_DWN,2016,11.5,76.5,5.21,6.0,6.42,6.48,5.56,4.17,4.31,4.76,4.99,5.23,5.08,4.9,5.26
ALLSKY_SFC_SW_DWN,2016,11.5,77.5,5.16,6.03,6.49,6.74,5.88,4.86,5.07,5.65,5.46,5.54,5.2,4.75,5.57
ALLSKY_SFC_SW_DWN,2016,11.5,78.5,5.04,5.99,6.51,6.82,5.9,5.17,5.34,5.93,5.39,5.13,4.9,4.48,5.55
ALLSKY_SFC_SW_DWN,2016,12.5,76.5,5.17,5.97,6.55,6.89,5.98,4.52,4.52,4.82,4.9,5.75,5.38,4.92,5.45
ALLSKY_SFC_SW_DWN,2016,12.5,77.5,5.2,6.14,6.59,6.91,6.09,4.78,4.89,5.29,4.97,5.77,5.32,4.8,5.56
ALLSKY_SFC_SW_DWN,2016,12.5,78.5,4.95,6.08,6.55,6.97,5.93,5.03,5.2,5.71,4.94,5.3,5.1,4.39,5.51
ALLSKY_SFC_SW_DWN,2016,13.5,76.5,5.2,6.13,6.7,7.07,6.27,4.81,4.53,4.99,4.63,5.9,5.39,4.91,5.54
ALLSKY_SFC_SW_DWN,2016,13.5,77.5,5.24,6.25,6.75,7.12,6.34,5.03,4.86,5.36,4.58,5.97,5.42,4.87,5.65
ALLSKY_SFC_SW_DWN,2016,13.5,78.5,5.0,6.13,6.5,7.22,6.2,5.05,5.14,5.64,4.78,5.7,5.21,4.56,5.59
ALLSKY_SFC_SW_DWN,2017,11.5,76.5,5.24,6.52,5.98,6.2,5.4,4.47,4.41,4.22,4.67,4.38,4.31,4.93,5.05
ALLSKY_SFC_SW_DWN,2017,11.5,77.5,5.13,6.45,6.11,6.5,5.92,5.34,5.12,4.88,5.15,4.69,4.21,4.73,5.34
ALLSKY_SFC_SW_DWN,2017,11.5,78.5,4.85,6.34,5.91,6.44,5.85,5.59,5.32,5.09,5.23,4.62,3.95,4.45,5.29
ALLSKY_SFC_SW_DWN,2017,12.5,76.5,5.27,6.54,6.4,6.56,5.82,4.93,4.53,4.63,4.91,4.73,4.55,5.05,5.32
ALLSKY_SFC_SW_DWN,2017,12.5,77.5,5.26,6.57,6.36,6.56,6.08,5.33,4.75,4.73,4.97,4.68,4.3,4.91,5.37
ALLSKY_SFC_SW_DWN,2017,12.5,78.5,4.91,6.37,6.13,6.44,6.04,5.41,5.2,4.95,5.08,4.61,4.08,4.54,5.3
ALLSKY_SFC_SW_DWN,2017,13.5,76.5,5.27,6.51,6.68,6.63,6.09,5.06,4.67,4.78,4.94,4.94,4.65,5.07,5.43
ALLSKY_SFC_SW_DWN,2017,13.5,77.5,5.24,6.49,6.66,6.7,6.34,5.38,4.95,4.81,5.04,4.9,4.45,4.95,5.49
ALLSKY_SFC_SW_DWN,2017,13.5,78.5,4.89,6.39,6.41,6.48,6.33,5.52,5.17,5.01,5.09,4.69,4.06,4.59,5.38
ALLSKY_SFC_SW_DWN,2018,11.5,76.5,5.25,6.36,6.22,6.05,5.23,3.96,3.67,3.75,5.77,5.16,4.73,4.48,5.04
ALLSKY_SFC_SW_DWN,2018,11.5,77.5,5.2,6.4,6.34,6.4,5.86,4.89,4.59,4.55,5.94,5.2,4.47,4.49,5.35
ALLSKY_SFC_SW_DWN,2018,11.5,78.5,5.15,6.27,6.33,6.32,5.6,5.29,4.93,4.84,5.61,4.75,4.19,4.37,5.3
ALLSKY_SFC_SW_DWN,2018,12.5,76.5,5.4,6.4,6.49,6.42,5.78,4.56,4.15,4.12,5.8,5.48,4.89,4.58,5.33
ALLSKY_SFC_SW_DWN,2018,12.5,77.5,5.37,6.46,6.54,6.56,5.92,4.91,4.37,4.33,5.75,5.45,4.75,4.56,5.41
ALLSKY_SFC_SW_DWN,2018,12.5,78.5,5.25,6.34,6.47,6.63,5.92,5.16,4.67,4.61,5.57,5.2,4.49,4.39,5.38
ALLSKY_SFC_SW_DWN,2018,13.5,76.5,5.4,6.22,6.49,6.59,5.99,4.88,4.44,4.22,5.57,5.7,5.09,4.67,5.43
ALLSKY_SFC_SW_DWN,2018,13.5,77.5,5.41,6.27,6.55,6.71,6.08,5.2,4.61,4.32,5.6,5.71,4.95,4.58,5.49
ALLSKY_SFC_SW_DWN,2018,13.5,78.5,5.24,6.31,6.42,6.73,6.22,5.45,4.78,4.57,5.56,5.51,4.68,4.36,5.48
ALLSKY_SFC_SW_DWN,2019,11.5,76.5,5.68,6.16,6.69,6.39,5.95,4.96,4.3,3.72,4.49,4.49,4.62,4.44,5.15
ALLSKY_SFC_SW_DWN,2019,11.5,77.5,5.59,6.1,6.82,6.64,6.19,5.69,5.1,4.53,4.95,4.8,4.63,4.1,5.42
ALLSKY_SFC_SW_DWN,2019,11.5,78.5,5.39,5.87,6.78,6.72,6.09,5.79,5.22,4.87,5.13,4.78,4.49,3.97,5.42
ALLSKY_SFC_SW_DWN,2019,12.5,76.5,5.68,6.29,6.83,6.69,6.29,5.53,4.75,4.1,4.74,4.73,4.85,4.4,5.4
ALLSKY_SFC_SW_DWN,2019,12.5,77.5,5.68,6.23,6.87,6.69,6.36,5.67,4.95,4.31,4.93,4.88,4.69,4.2,5.45
ALLSKY_SFC_SW_DWN,2019,12.5,78.5,5.45,5.95,6.86,6.81,6.12,5.8,5.09,4.7,5.02,4.9,4.51,3.87,5.42
ALLSKY_SFC_SW_DWN,2019,13.5,76.5,5.5,6.3,6.86,6.58,6.45,5.65,4.8,4.28,4.62,4.9,5.0,4.49,5.44
ALLSKY_SFC_SW_DWN,2019,13.5,77.5,5.47,6.22,6.9,6.66,6.5,5.84,4.96,4.49,4.78,5.06,4.95,4.4,5.51
ALLSKY_SFC_SW_DWN,2019,13.5,78.5,5.23,5.98,6.89,6.76,6.22,5.84,5.0,4.68,4.86,4.94,4.63,3.9,5.4
ALLSKY_SFC_SW_DWN,2020,11.5,76.5,5.6,6.17,6.23,6.25,5.58,4.61,4.25,4.41,4.14,4.78,4.53,4.39,5.08
ALLSKY_SFC_SW_DWN,2020,11.5,77.5,5.42,6.03,6.33,6.44,6.06,5.38,5.01,5.01,4.66,5.03,4.34,4.07,5.31
ALLSKY_SFC_SW_DWN,2020,11.5,78.5,5.29,5.93,6.46,6.42,6.03,5.51,5.19,5.12,4.79,4.96,4.18,3.76,5.3
ALLSKY_SFC_SW_DWN,2020,12.5,76.5,5.56,6.13,6.44,6.51,6.13,5.06,4.6,4.41,4.41,4.76,4.58,4.46,5.25
ALLSKY_SFC_SW_DWN,2020,12.5,77.5,5.52,6.19,6.49,6.58,6.28,5.44,4.93,4.61,4.47,4.73,4.38,4.37,5.33
ALLSKY_SFC_SW_DWN,2020,12.5,78.5,5.28,6.04,6.54,6.54,6.21,5.49,5.21,4.84,4.66,4.72,4.18,4.08,5.31
ALLSKY_SFC_SW_DWN,2020,13.5,76.5,5.44,6.15,6.65,6.67,6.28,5.29,4.79,4.37,4.57,4.77,4.64,4.49,5.34
ALLSKY_SFC_SW_DWN,2020,13.5,77.5,5.39,6.22,6.68,6.69,6.41,5.35,5.02,4.64,4.68,4.73,4.46,4.46,5.39
ALLSKY_SFC_SW_DWN,2020,13.5,78.5,5.12,6.08,6.52,6.6,6.42,5.29,5.06,4.69,4.67,4.73,4.19,4.13,5.29
ALLSKY_SFC_SW_DWN,2021,11.5,76.5,4.53,6.03,6.63,5.64,5.14,4.95,3.95,4.23,4.58,4.06,3.3,4.75,4.81
ALLSKY_SFC_SW_DWN,2021,11.5,77.5,4.25,6.14,6.85,6.09,5.82,5.44,4.65,4.86,5.1,4.45,3.31,4.5,5.12
ALLSKY_SFC_SW_DWN,2021,11.5,78.5,4.0,6.1,6.8,6.08,5.94,5.51,5.15,5.07,5.31,4.45,3.03,4.39,5.15
ALLSKY_SFC_SW_DWN,2021,12.5,76.5,4.74,6.07,6.79,6.08,5.69,5.27,4.4,4.65,4.86,4.49,3.53,4.68,5.1
ALLSKY_SFC_SW_DWN,2021,12.5,77.5,4.59,6.19,6.91,6.22,5.96,5.49,4.58,4.9,5.0,4.48,3.29,4.43,5.16
ALLSKY_SFC_SW_DWN,2021,12.5,78.5,4.29,6.16,6.89,6.24,6.17,5.52,5.07,5.12,5.2,4.3,2.87,4.32,5.17
ALLSKY_SFC_SW_DWN,2021,13.5,76.5,4.88,6.05,6.87,6.3,5.88,5.42,4.56,4.68,4.91,4.42,3.54,4.56,5.17
ALLSKY_SFC_SW_DWN,2021,13.5,77.5,4.77,6.15,6.96,6.49,6.18,5.44,4.75,4.78,4.98,4.48,3.32,4.45,5.22
ALLSKY_SFC_SW_DWN,2021,13.5,78.5,4.5,6.11,6.83,6.4,6.31,5.52,4.98,4.94,5.18,4.38,3.07,4.23,5.2
ALLSKY_SFC_SW_DWN,2022,11.5,76.5,5.19,5.83,5.9,5.65,4.46,4.98,3.75,4.26,4.93,4.44,4.08,4.42,4.82
ALLSKY_SFC_SW_DWN,2022,11.5,77.5,4.94,5.91,5.96,6.09,5.22,5.59,4.56,4.92,5.3,4.76,4.01,4.21,5.11
ALLSKY_SFC_SW_DWN,2022,11.5,78.5,4.79,5.7,5.93,6.29,5.35,5.74,4.97,5.05,5.36,4.53,3.8,3.94,5.11
ALLSKY_SFC_SW_DWN,2022,12.5,76.5,5.27,6.04,6.21,6.27,5.0,5.36,4.09,4.49,4.93,4.7,4.24,4.48,5.08
ALLSKY_SFC_SW_DWN,2022,12.5,77.5,5.14,6.09,6.1,6.33,5.25,5.64,4.32,4.53,4.94,4.63,4.06,4.31,5.1
ALLSKY_SFC_SW_DWN,2022,12.5,78.5,4.8,5.9,6.01,6.62,5.35,5.83,4.8,4.86,5.14,4.54,3.8,3.91,5.12
ALLSKY_SFC_SW_DWN,2022,13.5,76.5,5.26,6.13,6.19,6.25,5.26,5.56,4.16,4.59,4.82,4.74,4.25,4.44,5.13
ALLSKY_SFC_SW_DWN,2022,13.5,77.5,5.18,6.19,6.23,6.49,5.36,5.83,4.4,4.73,4.98,4.77,4.16,4.31,5.21
ALLSKY_SFC_SW_DWN,2022,13.5,78.5,4.84,6.02,6.1,6.64,5.37,5.83,4.76,4.95,5.13,4.75,3.85,3.93,5.17
ALLSKY_SFC_SW_DWN,2023,11.5,76.5,5.56,6.36,6.26,6.22,5.53,4.96,3.84,5.27,4.53,4.71,4.35,4.24,5.14
ALLSKY_SFC_SW_DWN,2023,11.5,77.5,5.37,6.26,6.36,6.44,5.85,5.58,4.55,5.72,5.19,5.12,4.21,3.86,5.37
ALLSKY_SFC_SW_DWN,2023,11.5,78.5,5.1,6.08,6.17,6.39,5.75,5.66,4.84,5.65,5.56,4.94,4.02,3.65,5.31
ALLSKY_SFC_SW_DWN,2023,12.5,76.5,5.66,6.54,6.53,6.57,6.08,5.4,4.12,5.47,4.82,5.15,4.47,4.3,5.42
ALLSKY_SFC_SW_DWN,2023,12.5,77.5,5.53,6.43,6.47,6.64,6.01,5.67,4.28,5.52,5.06,5.13,4.29,4.1,5.42
ALLSKY_SFC_SW_DWN,2023,12.5,78.5,5.16,6.28,6.2,6.56,5.89,5.54,4.71,5.55,5.37,5.09,3.99,3.68,5.33
ALLSKY_SFC_SW_DWN,2023,13.5,76.5,5.61,6.51,6.49,6.81,6.36,5.44,4.13,5.35,4.79,5.06,4.31,4.4,5.43
ALLSKY_SFC_SW_DWN,2023,13.5,77.5,5.56,6.44,6.54,6.9,6.33,5.62,4.31,5.4,4.87,5.22,4.2,4.21,5.46
ALLSKY_SFC_SW_DWN,2023,13.5,78.5,5.23,6.31,6.28,6.69,6.06,5.69,4.52,5.55,5.12,5.29,3.89,3.74,5.36
ALLSKY_SFC_SW_DWN,2024,11.5,76.5,4.75,6.35,6.5,6.67,4.61,4.41,,,,,,,
ALLSKY_SFC_SW_DWN,2024,11.5,77.5,4.66,6.15,6.63,6.88,5.19,5.23,,,,,,,
ALLSKY_SFC_SW_DWN,2024,11.5,78.5,4.51,5.89,6.65,6.88,5.14,5.45,,,,,,,
ALLSKY_SFC_SW_DWN,2024,12.5,76.5,4.73,6.44,6.64,6.97,5.37,4.92,,,,,,,
ALLSKY_SFC_SW_DWN,2024,12.5,77.5,4.86,6.36,6.71,7.04,5.37,5.26,,,,,,,
ALLSKY_SFC_SW_DWN,2024,12.5,78.5,4.73,6.02,6.73,7.13,5.43,5.4,,,,,,,
ALLSKY_SFC_SW_DWN,2024,13.5,76.5,4.84,6.51,6.53,6.91,5.82,5.07,,,,,,,
ALLSKY_SFC_SW_DWN,2024,13.5,77.5,4.94,6.46,6.61,7.08,5.78,5.24,,,,,,,
ALLSKY_SFC_SW_DWN,2024,13.5,78.5,4.78,6.16,6.58,7.17,5.72,5.31,,,,,,,
